timestamp,side,price,amount,cost,iteration,revenue,profit
2025-12-27 16:44:15.584133,buy,715.2919999999999,0.13980304546954253,100.0,1,,
2025-12-27 16:44:15.584157,buy,737.2440212401855,0.1356402997094244,100.0,1,,
2025-12-27 16:44:15.584174,buy,759.8697411048902,0.13160150298207005,100.0,1,,
2025-12-27 16:44:15.584189,buy,783.1898351315377,0.1276829646074312,100.00000000000001,1,,
2025-12-27 16:44:15.584202,buy,807.2256133814063,0.12388110379836394,100.0,1,,
2025-12-27 16:44:15.584216,buy,831.9990399129074,0.12019244638848126,100.0,1,,
2025-12-27 16:44:15.584228,sell,857.532752852493,0.11661362165743577,,1,100.0,10.159154410113501
2025-12-27 16:44:15.584242,sell,883.8500850815307,0.11314135925073256,,1,100.0,12.834236328455589
2025-12-27 16:44:15.584254,sell,910.9750855580486,0.10977248619125694,,1,100.0,15.429665576312916
2025-12-27 16:44:15.584268,sell,938.9325412928396,0.10650392397978614,,1,100.0,17.94781387466792
2025-12-27 16:44:15.584280,sell,967.7479999999995,0.10333268578183583,,1,100.0,20.39098232464323
2025-12-27 16:45:18.475847,buy,715.2919999999999,0.13980304546954253,100.0,2,,
2025-12-27 16:45:18.475869,buy,737.2440212401855,0.1356402997094244,100.0,2,,
2025-12-27 16:45:18.475885,buy,759.8697411048902,0.13160150298207005,100.0,2,,
2025-12-27 16:45:18.475899,buy,783.1898351315377,0.1276829646074312,100.00000000000001,2,,
2025-12-27 16:45:18.475912,buy,807.2256133814063,0.12388110379836394,100.0,2,,
2025-12-27 16:45:18.475923,buy,831.9990399129074,0.12019244638848126,100.0,2,,
2025-12-27 16:45:18.475936,sell,857.532752852493,0.11661362165743577,,2,100.0,10.159154410113475
2025-12-27 16:45:18.475962,sell,883.8500850815307,0.11314135925073256,,2,100.0,12.834236328455562
2025-12-27 16:45:18.475983,sell,910.9750855580486,0.10977248619125694,,2,100.0,15.42966557631289
2025-12-27 16:45:18.475998,sell,938.9325412928396,0.10650392397978614,,2,100.0,17.947813874667894
2025-12-27 16:45:18.476011,sell,967.7479999999995,0.10333268578183583,,2,100.0,20.390982324643208
2025-12-27 16:46:22.298551,buy,715.2919999999999,0.13980304546954253,100.0,3,,
2025-12-27 16:46:22.298573,buy,737.2440212401855,0.1356402997094244,100.0,3,,
2025-12-27 16:46:22.298588,buy,759.8697411048902,0.13160150298207005,100.0,3,,
2025-12-27 16:46:22.298601,buy,783.1898351315377,0.1276829646074312,100.00000000000001,3,,
2025-12-27 16:46:22.298613,buy,807.2256133814063,0.12388110379836394,100.0,3,,
2025-12-27 16:46:22.298624,buy,831.9990399129074,0.12019244638848126,100.0,3,,
2025-12-27 16:46:22.298637,sell,857.532752852493,0.11661362165743577,,3,100.0,10.159154410113475
2025-12-27 16:46:22.298651,sell,883.8500850815307,0.11314135925073256,,3,100.0,12.834236328455562
2025-12-27 16:46:22.298663,sell,910.9750855580486,0.10977248619125694,,3,100.0,15.42966557631289
2025-12-27 16:46:22.298674,sell,938.9325412928396,0.10650392397978614,,3,100.0,17.947813874667894
2025-12-27 16:46:22.298684,sell,967.7479999999995,0.10333268578183583,,3,100.0,20.390982324643208
