timestamp,side,price,amount,cost,iteration,revenue,profit
2025-12-27 16:44:15.347456,buy,98.84800000000001,2.023308514082227,200.0,1,,
2025-12-27 16:44:15.347477,buy,102.93830493416182,1.942911340223814,200.0,1,,
2025-12-27 16:44:15.347492,buy,107.19786563935014,1.8657087882035601,200.0,1,,
2025-12-27 16:44:15.347506,buy,111.63368587603927,1.791573918127946,200.0,1,,
2025-12-27 16:44:15.347517,buy,116.25305921851897,1.7203848341234897,200.0,1,,
2025-12-27 16:44:15.347528,buy,121.06358104731582,1.652024483910096,200.0,1,,
2025-12-27 16:44:15.347539,sell,126.07316103785823,1.5863804663384498,,1,200.0,26.875971669191088
2025-12-27 16:44:15.347570,sell,131.29003616591874,1.5233448465750177,,1,200.0,33.75514135977794
2025-12-27 16:44:15.347591,sell,136.7227842512188,1.4628139786307572,,1,200.0,40.360963808574326
2025-12-27 16:44:15.347608,sell,142.38033806146382,1.4046883349417425,,1,200.00000000000003,46.70430060468979
2025-12-27 16:44:15.347622,sell,148.27200000000008,1.3488723427214842,,1,200.0,52.79558174656853
2025-12-27 16:45:18.236122,buy,98.84800000000001,2.023308514082227,200.0,2,,
2025-12-27 16:45:18.236143,buy,102.93830493416182,1.942911340223814,200.0,2,,
2025-12-27 16:45:18.236157,buy,107.19786563935014,1.8657087882035601,200.0,2,,
2025-12-27 16:45:18.236170,buy,111.63368587603927,1.791573918127946,200.0,2,,
2025-12-27 16:45:18.236205,buy,116.25305921851897,1.7203848341234897,200.0,2,,
2025-12-27 16:45:18.236220,buy,121.06358104731582,1.652024483910096,200.0,2,,
2025-12-27 16:45:18.236234,sell,126.07316103785823,1.5863804663384498,,2,200.0,26.87597166919111
2025-12-27 16:45:18.236258,sell,131.29003616591874,1.5233448465750177,,2,200.0,33.75514135977796
2025-12-27 16:45:18.236277,sell,136.7227842512188,1.4628139786307572,,2,200.0,40.36096380857435
2025-12-27 16:45:18.236292,sell,142.38033806146382,1.4046883349417425,,2,200.00000000000003,46.70430060468981
2025-12-27 16:45:18.236305,sell,148.27200000000008,1.3488723427214842,,2,200.0,52.79558174656855
2025-12-27 16:46:22.058604,buy,98.84800000000001,2.023308514082227,200.0,3,,
2025-12-27 16:46:22.058627,buy,102.93830493416182,1.942911340223814,200.0,3,,
2025-12-27 16:46:22.058643,buy,107.19786563935014,1.8657087882035601,200.0,3,,
2025-12-27 16:46:22.058657,buy,111.63368587603927,1.791573918127946,200.0,3,,
2025-12-27 16:46:22.058668,buy,116.25305921851897,1.7203848341234897,200.0,3,,
2025-12-27 16:46:22.058680,buy,121.06358104731582,1.652024483910096,200.0,3,,
2025-12-27 16:46:22.058691,sell,126.07316103785823,1.5863804663384498,,3,200.0,26.87597166919111
2025-12-27 16:46:22.058704,sell,131.29003616591874,1.5233448465750177,,3,200.0,33.75514135977796
2025-12-27 16:46:22.058715,sell,136.7227842512188,1.4628139786307572,,3,200.0,40.36096380857435
2025-12-27 16:46:22.058727,sell,142.38033806146382,1.4046883349417425,,3,200.00000000000003,46.70430060468981
2025-12-27 16:46:22.058739,sell,148.27200000000008,1.3488723427214842,,3,200.0,52.79558174656855
