timestamp,side,price,amount,cost,iteration,revenue,profit
2025-12-27 16:44:14.869538,buy,74449.7915,0.005372748424688335,400.0,1,,
2025-12-27 16:44:14.869562,buy,76734.62539208238,0.005212770609827891,400.0,1,,
2025-12-27 16:44:14.869580,buy,79089.57990920919,0.005057556260371842,400.0,1,,
2025-12-27 16:44:14.869595,buy,81516.80702491062,0.004906963540387009,400.00000000000006,1,,
2025-12-27 16:44:14.869610,buy,84018.52475591132,0.004760854837216801,399.99999999999994,1,,
2025-12-27 16:44:14.869621,buy,86597.01918896918,0.004619096635729841,400.0,1,,
2025-12-27 16:44:14.869635,sell,89254.6465699171,0.004481559396312913,,1,400.00000000000006,40.63661764045393
2025-12-27 16:44:14.869651,sell,91993.83545681655,0.004348117436496783,,1,400.0,51.336945313822284
2025-12-27 16:44:14.869664,sell,94817.08893919042,0.004218648816106707,,1,400.0,61.718662305251634
2025-12-27 16:44:14.869676,sell,97726.98692536344,0.0040930352258326565,,1,400.0,71.79125549867166
2025-12-27 16:44:14.869727,sell,100726.18849999996,0.003971161879117466,,1,399.99999999999994,81.56392929857286
2025-12-27 16:45:17.754359,buy,74449.7915,0.005372748424688335,400.0,2,,
2025-12-27 16:45:17.754381,buy,76734.62539208238,0.005212770609827891,400.0,2,,
2025-12-27 16:45:17.754400,buy,79089.57990920919,0.005057556260371842,400.0,2,,
2025-12-27 16:45:17.754414,buy,81516.80702491062,0.004906963540387009,400.00000000000006,2,,
2025-12-27 16:45:17.754429,buy,84018.52475591132,0.004760854837216801,399.99999999999994,2,,
2025-12-27 16:45:17.754441,buy,86597.01918896918,0.004619096635729841,400.0,2,,
2025-12-27 16:45:17.754454,sell,89254.6465699171,0.004481559396312913,,2,400.00000000000006,40.63661764045393
2025-12-27 16:45:17.754468,sell,91993.83545681655,0.004348117436496783,,2,400.0,51.336945313822284
2025-12-27 16:45:17.754480,sell,94817.08893919042,0.004218648816106707,,2,400.0,61.718662305251634
2025-12-27 16:45:17.754491,sell,97726.98692536344,0.0040930352258326565,,2,400.0,71.79125549867166
2025-12-27 16:45:17.754503,sell,100726.18849999996,0.003971161879117466,,2,399.99999999999994,81.56392929857286
2025-12-27 16:46:21.577695,buy,74449.7915,0.005372748424688335,400.0,3,,
2025-12-27 16:46:21.577721,buy,76734.62539208238,0.005212770609827891,400.0,3,,
2025-12-27 16:46:21.577738,buy,79089.57990920919,0.005057556260371842,400.0,3,,
2025-12-27 16:46:21.577753,buy,81516.80702491062,0.004906963540387009,400.00000000000006,3,,
2025-12-27 16:46:21.577767,buy,84018.52475591132,0.004760854837216801,399.99999999999994,3,,
2025-12-27 16:46:21.577780,buy,86597.01918896918,0.004619096635729841,400.0,3,,
2025-12-27 16:46:21.577793,sell,89254.6465699171,0.004481559396312913,,3,400.00000000000006,40.6366176404538
2025-12-27 16:46:21.577809,sell,91993.83545681655,0.004348117436496783,,3,400.0,51.336945313822156
2025-12-27 16:46:21.577821,sell,94817.08893919042,0.004218648816106707,,3,400.0,61.71866230525151
2025-12-27 16:46:21.577832,sell,97726.98692536344,0.0040930352258326565,,3,400.0,71.79125549867155
2025-12-27 16:46:21.577842,sell,100726.18849999996,0.003971161879117466,,3,399.99999999999994,81.56392929857275
