timestamp,iteration,total_value,total_capital,total_position_value,symbols,total_pnl,total_roi_pct
2025-12-27 16:44:15.584293,1,10998.089560152339,9000.0,1998.0895601523378,"{'BTC/USDT': {'price': 87588.0, 'capital': 3600.0, 'position': 0.008817467554355193, 'position_value': 772.3043481508627, 'total_value': 4372.304348150863, 'pnl': 65.25693809409029, 'trades_count': 11}, 'ETH/USDT': {'price': 2929.81, 'capital': 2700.0, 'position': 0.1977016239899995, 'position_value': 579.2281949821404, 'total_value': 3279.2281949821404, 'pnl': 48.942637439561196, 'trades_count': 11}, 'SOL/USDT': {'price': 123.57, 'capital': 1800.0, 'position': 3.6698119094636814, 'position_value': 453.4786576524271, 'total_value': 2253.478657652427, 'pnl': 52.98669846362555, 'trades_count': 11}, 'BNB/USDT': {'price': 841.53, 'capital': 900.0, 'position': 0.22943728609426614, 'position_value': 193.0783593669078, 'total_value': 1093.0783593669078, 'pnl': 16.316506852714685, 'trades_count': 11}}",998.0895601523389,9.98089560152339
2025-12-27 16:45:18.476023,2,11995.85898942684,8000.0,3995.8589894268393,"{'BTC/USDT': {'price': 87588.0, 'capital': 3200.0, 'position': 0.01763493510871039, 'position_value': 1544.6086963017256, 'total_value': 4744.608696301726, 'pnl': 130.5138761881806, 'trades_count': 22}, 'ETH/USDT': {'price': 2929.07, 'capital': 2400.0, 'position': 0.39540324797999904, 'position_value': 1158.163791560776, 'total_value': 3558.163791560776, 'pnl': 97.59267647561711, 'trades_count': 22}, 'SOL/USDT': {'price': 123.57, 'capital': 1600.0, 'position': 7.339623818927364, 'position_value': 906.9573153048543, 'total_value': 2506.957315304854, 'pnl': 105.97339692725122, 'trades_count': 22}, 'BNB/USDT': {'price': 841.47, 'capital': 800.0, 'position': 0.4588745721885321, 'position_value': 386.12918625948413, 'total_value': 1186.1291862594842, 'pnl': 32.60548123109797, 'trades_count': 22}}",1995.8589894268407,19.958589894268407
2025-12-27 16:46:22.298695,3,12992.52883359259,7000.0,5992.528833592592,"{'BTC/USDT': {'price': 87588.0, 'capital': 2800.0, 'position': 0.02645240266306557, 'position_value': 2316.913044452587, 'total_value': 5116.913044452587, 'pnl': 195.77081428227007, 'trades_count': 33}, 'ETH/USDT': {'price': 2928.64, 'capital': 2100.0, 'position': 0.5931048719699986, 'position_value': 1736.9906522462168, 'total_value': 3836.990652246217, 'pnl': 146.1339796184787, 'trades_count': 33}, 'SOL/USDT': {'price': 123.48, 'capital': 1400.0, 'position': 11.009435728391047, 'position_value': 1359.4451237417265, 'total_value': 2759.4451237417265, 'pnl': 157.96924617532179, 'trades_count': 33}, 'BNB/USDT': {'price': 841.45, 'capital': 700.0, 'position': 0.688311858282798, 'position_value': 579.1800131520604, 'total_value': 1279.1800131520604, 'pnl': 48.89445560948129, 'trades_count': 33}}",2992.5288335925907,29.92528833592591
